ola_fecha,entidad,cve_inegi,municipio,tipo_pregunta,universo,partido_contexto,actor,valor_pct,muestra_n,margen_error_pct,casa_encuestadora,pagina_fuente,estatus_dato,nota
2026-08-12,Jalisco,14039,Guadalajara,INTENCION_PARTIDO,Total de entrevistados,,MORENA,32.7,600,4.3,Massive Caller,2,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,INTENCION_PARTIDO,Total de entrevistados,,MC,22.1,600,4.3,Massive Caller,2,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,INTENCION_PARTIDO,Total de entrevistados,,PAN,12.9,600,4.3,Massive Caller,2,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,INTENCION_PARTIDO,Total de entrevistados,,PRI,10.6,600,4.3,Massive Caller,2,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,INTENCION_PARTIDO,Total de entrevistados,,PT,3.6,600,4.3,Massive Caller,2,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,INTENCION_PARTIDO,Total de entrevistados,,PVEM,1.7,600,4.3,Massive Caller,2,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,INTENCION_PARTIDO,Total de entrevistados,,AÚN NO DECIDE,16.4,600,4.3,Massive Caller,2,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PAN,MIGUEL ÁNGEL MONRAZ IBARRA,21.4,600,4.3,Massive Caller,4,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PAN,DIANA ARACELI GONZÁLEZ MARTÍNEZ,16.1,600,4.3,Massive Caller,4,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PAN,JOSÉ MIGUEL MENDOZA LARA,14.9,600,4.3,Massive Caller,4,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PAN,PAOLA ESPINOSA SÁNCHEZ,7.1,600,4.3,Massive Caller,4,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PAN,CÉSAR MADRIGAL DÍAZ,3.6,600,4.3,Massive Caller,4,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PAN,OTRO,20.2,600,4.3,Massive Caller,4,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PAN,AÚN NO DECIDE,16.7,600,4.3,Massive Caller,4,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PRI,LAURA HARO RAMÍREZ,31.5,600,4.3,Massive Caller,6,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PRI,HORTENSIA NOROÑA QUEZADA,13.7,600,4.3,Massive Caller,6,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PRI,VERÓNICA FLORES PÉREZ,10.7,600,4.3,Massive Caller,6,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PRI,OTRO,26.8,600,4.3,Massive Caller,6,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,PRI,AÚN NO DECIDE,17.3,600,4.3,Massive Caller,6,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,CARLOS LOMELÍ BOLAÑOS,35.8,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,CHEMA MARTÍNEZ,16.2,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,ITZUL BARRERA RODRÍGUEZ,14.2,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,CARLOS PALACIOS RODRÍGUEZ,10.8,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,MERY GÓMEZ POZOS,7.4,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,MARIANA FERNÁNDEZ RAMÍREZ,5.4,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,OTRO,3.4,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MORENA,AÚN NO DECIDE,6.8,600,4.3,Massive Caller,8,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MC,VERÓNICA DELGADILLO GARCÍA,39.6,600,4.3,Massive Caller,10,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MC,CLEMENTE CASTAÑEDA HOEFLICH,21.7,600,4.3,Massive Caller,10,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MC,MANUEL ROMO PARRA,2.8,600,4.3,Massive Caller,10,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MC,OTRO,17.1,600,4.3,Massive Caller,10,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,PRECANDIDATO,Condicional: declarantes del partido,MC,AÚN NO DECIDE,18.8,600,4.3,Massive Caller,10,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,REELECCION,Total de entrevistados,MC,SÍ,40.2,600,4.3,Massive Caller,12,LITERAL,
2026-08-12,Jalisco,14039,Guadalajara,REELECCION,Total de entrevistados,MC,NO,59.8,600,4.3,Massive Caller,12,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,INTENCION_PARTIDO,Total de entrevistados,,MORENA,29.7,600,4.3,Massive Caller,72,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,INTENCION_PARTIDO,Total de entrevistados,,MC,26.3,600,4.3,Massive Caller,72,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,INTENCION_PARTIDO,Total de entrevistados,,PAN,17.2,600,4.3,Massive Caller,72,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,INTENCION_PARTIDO,Total de entrevistados,,PRI,11.6,600,4.3,Massive Caller,72,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,INTENCION_PARTIDO,Total de entrevistados,,PT,2.8,600,4.3,Massive Caller,72,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,INTENCION_PARTIDO,Total de entrevistados,,PVEM,1.9,600,4.3,Massive Caller,72,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,INTENCION_PARTIDO,Total de entrevistados,,AÚN NO DECIDE,10.5,600,4.3,Massive Caller,72,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PAN,OMAR BORBOA,20.8,600,4.3,Massive Caller,74,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PAN,JERÓNIMO DÍAZ OROZCO,16.7,600,4.3,Massive Caller,74,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PAN,OTRO,27.4,600,4.3,Massive Caller,74,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PAN,AÚN NO DECIDE,35.1,600,4.3,Massive Caller,74,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PRI,ALONDRA GETSEMANY FAUSTO DE LEÓN,26.2,600,4.3,Massive Caller,76,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PRI,ANDREA MÁRQUEZ VILLARREAL,23.8,600,4.3,Massive Caller,76,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PRI,OTRO,23.2,600,4.3,Massive Caller,76,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,PRI,AÚN NO DECIDE,26.8,600,4.3,Massive Caller,76,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MORENA,PEDRO KUMAMOTO,38.2,600,4.3,Massive Caller,78,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MORENA,MAURO LOMELÍ,16.9,600,4.3,Massive Caller,78,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MORENA,GABRIELA FRANCO,11.8,600,4.3,Massive Caller,78,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MORENA,KARIME MORQUECHO,3.7,600,4.3,Massive Caller,78,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MORENA,MARÍA REYNOSO,2.9,600,4.3,Massive Caller,78,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MORENA,OTRO,10.3,600,4.3,Massive Caller,78,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MORENA,AÚN NO DECIDE,16.2,600,4.3,Massive Caller,78,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MC,GABRIELA CÁRDENAS RODRÍGUEZ,24.6,600,4.3,Massive Caller,80,LITERAL,
2026-08-12,Jalisco,14120,Zapopan,PRECANDIDATO,Condicional: declarantes del partido,MC,MÓNICA MAGAÑA,18.6,600,4.3,Massive Caller,80,LITERAL,
